Wings					                1927/1928 	Famous Players–Lasky (Lucien Hubbard, Jesse L. Lasky, B.P. Schulberg, & Adolph Zukor, producers)
Coming Home				1978		Jerome Hellman
Heaven Can Wait				1978		Warren Beatty
Midnight Express			1978		Alan Marshall and David Puttnam
An Unmarried Woman			1978		Paul Mazursky and Anthony Ray
Kramer vs. Kramer			1979		Stanley R. Jaffe
All That Jazz				1979		Robert Alan Aurthur
Apocalypse Now				1979		Francis Ford Coppola, Fred Roos, Gray Frederickson, and Tom Sternberg
Breaking Away				1979		Peter Yates
Norma Rae				1979		Tamara Asseyev and Alex Rose
Coal Miner's Daughter			1980		Bernard Schwartz
The Elephant Man			1980		Jonathan Sanger
Raging Bull				1980		Irwin Winkler and Robert Chartoff
Tess					1980		Claude Berri and Timothy Burrill
Chariots of Fire			1981		David Puttnam
Atlantic City				1981		Denis Héroux
On Golden Pond				1981		Bruce Gilbert
Raiders of the Lost Ark			1981		Frank Marshall
Reds					1981		Warren Beatty
Gandhi					1982		Richard Attenborough
E.T. the Extra-Terrestrial		1982		Steven Spielberg and Kathleen Kennedy
Missing					1982		Edward Lewis and Mildred Lewis
Tootsie					1982		Sydney Pollack and Dick Richards
The Verdict				1982		Richard D. Zanuck and David Brown
Terms of Endearment			1983		James L. Brooks
The Big Chill				1983		Michael Shamberg
The Dresser				1983		Peter Yates
The Right Stuff				1983		Irwin Winkler and Robert Chartoff
Tender Mercies				1983		Philip S. Hobel
Amadeus					1984		Saul Zaentz
The Killing Fields			1984		David Puttnam
A Passage to India			1984		John Brabourne and Richard B. Goodwin
Places in the Heart			1984		Arlene Donovan
A Soldier's Story			1984		Norman Jewison, Ronald L. Schwary, and Patrick Palmer
Out of Africa				1985		Sydney Pollack
The Color Purple			1985		Steven Spielberg, Kathleen Kennedy, Frank Marshall, and Quincy Jones
Kiss of the Spider Woman		1985		David Weisman
Prizzi's Honor				1985		John Foreman
Witness					1985		Edward S. Feldman
Platoon					1986		Arnold Kopelson
Children of a Lesser God		1986		Burt Sugarman and Patrick J. Palmer
Hannah and Her Sisters			1986		Robert Greenhut
The Mission				1986		Fernando Ghia and David Puttnam
A Room with a View			1986		Ismail Merchant
The Last Emperor			1987		Jeremy Thomas
Broadcast News				1987		James L. Brooks
Fatal Attraction			1987		Stanley R. Jaffe and Sherry Lansing
Hope and Glory				1987		John Boorman
Moonstruck				1987		Patrick J. Palmer and Norman Jewison
Rain Man				1988		Mark Johnson
The Accidental Tourist			1988		Lawrence Kasdan, Charles Okun, and Michael Grillo
Dangerous Liaisons			1988		Norma Heyman and Hank Moonjean
Mississippi Burning			1988		Frederick Zollo and Robert F. Colesberry
Working Girl				1988		Douglas Wick
Driving Miss Daisy			1989		Richard D. Zanuck and Lili Fini Zanuck
Dead Poets Society			1989		Steven Haft, Paul Junger Witt, and Tony Thomas
Field of Dreams				1989		Lawrence Gordon and Charles Gordon
My Left Foot				1989		Noel Pearson
Dances With Wolves			1990		Jim Wilson and Kevin Costner
Awakenings				1990		Walter Parkes and Lawrence Lasker
Ghost					1990		Lisa Weinstein
The Godfather Part III			1990		Francis Ford Coppola
Goodfellas				1990		Irwin Winkler
The Silence of the Lambs		1991		Edward Saxon, Kenneth Utt, and Ron Bozman
Beauty and the Beast			1991		Don Hahn
Bugsy					1991		Mark Johnson, Barry Levinson and Warren Beatty
JFK					1991		A. Kitman Ho and Oliver Stone
The Prince of Tides			1991		Barbra Streisand and Andrew S. Karsch
Unforgiven				1992		Clint Eastwood
The Crying Game				1992		Stephen Woolley
A Few Good Men				1992		David Brown, Rob Reiner, and Andrew Scheinman
Scent of a Woman			1992		Martin Brest
Schindler's List			1993		Steven Spielberg, Gerald R. Molen, and Branko Lustig
The Fugitive				1993		Arnold Kopelson
In the Name of the Father		1993		Jim Sheridan
The Piano				1993		Jan Chapman
The Remains of the Day			1993		Mike Nichols, John Calley, and Ismail Merchant
Forrest Gump				1994		Wendy Finerman, Steve Tisch, and Steve Starkey
Four Weddings and a Funeral		1994		Duncan Kenworthy
Pulp Fiction				1994		Lawrence Bender
Quiz Show				1994		Michael Jacobs, Julian Krainin, Michael Nozik, and Robert Redford
The Shawshank Redemption		1994		Niki Marvin
Braveheart				1995		Mel Gibson, Alan Ladd Jr., and Bruce Davey
Apollo 13				1995		Brian Grazer
Babe					1995		Bill Miller, George Miller, and Doug Mitchell
The Postman (Il Postino)		1995		Mario Cecchi Gori, Vittorio Cecchi Gori, and Gaetano Daniele
Sense and Sensibility			1995		Lindsay Doran
The English Patient			1996		Saul Zaentz
Fargo					1996		Ethan Coen
Jerry Maguire				1996		James L. Brooks, Laurence Mark, Richard Sakai, and Cameron Crowe
Secrets & Lies				1996		Simon Channing-Williams
Shine					1996		Jane Scott
Titanic					1997		James Cameron and Jon Landau
As Good as It Gets			1997		James L. Brooks, Bridget Johnson, and Kristi Zea
The Full Monty				1997		Uberto Pasolini
Good Will Hunting			1997		Lawrence Bender
L.A. Confidential			1997		Curtis Hanson, Arnon Milchan, and Michael Nathanson
Shakespeare in Love			1998		David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick, and Marc Norman
Elizabeth				1998		Alison Owen, Eric Fellner and Tim Bevan
Life Is Beautiful			1998		Elda Ferri and Gianluigi Braschi
